+ .venv/bin/python -m twomove.sweep --stage s2b --materials k_pawns8 --regimes ET --games 512 --nodes 12000 --out experiments/results/ocean --workers 20
1 points, 512 games max
  [s2b-k_pawns8-ET] 208/512 games (2276/h, eta 8m)
  [s2b-k_pawns8-ET] 209/512 games (2284/h, eta 8m)
  [s2b-k_pawns8-ET] 210/512 games (2284/h, eta 8m)
  [s2b-k_pawns8-ET] 211/512 games (2278/h, eta 8m)
  [s2b-k_pawns8-ET] 212/512 games (2269/h, eta 8m)
  [s2b-k_pawns8-ET] 213/512 games (2266/h, eta 8m)
  [s2b-k_pawns8-ET] 214/512 games (2262/h, eta 8m)
  [s2b-k_pawns8-ET] 215/512 games (2264/h, eta 8m)
  [s2b-k_pawns8-ET] 216/512 games (2241/h, eta 8m)
  [s2b-k_pawns8-ET] 217/512 games (2251/h, eta 8m)
  [s2b-k_pawns8-ET] 218/512 games (2241/h, eta 8m)
  [s2b-k_pawns8-ET] 219/512 games (2247/h, eta 8m)
  [s2b-k_pawns8-ET] 220/512 games (2245/h, eta 8m)
  [s2b-k_pawns8-ET] 221/512 games (2252/h, eta 8m)
  [s2b-k_pawns8-ET] 222/512 games (2262/h, eta 8m)
  [s2b-k_pawns8-ET] 223/512 games (2265/h, eta 8m)
  [s2b-k_pawns8-ET] 224/512 games (2267/h, eta 8m)
  [s2b-k_pawns8-ET] 225/512 games (2245/h, eta 8m)
  [s2b-k_pawns8-ET] 226/512 games (2248/h, eta 8m)
  [s2b-k_pawns8-ET] 227/512 games (2253/h, eta 8m)
  [s2b-k_pawns8-ET] 228/512 games (2252/h, eta 8m)
  [s2b-k_pawns8-ET] 229/512 games (2250/h, eta 8m)
  [s2b-k_pawns8-ET] 230/512 games (2252/h, eta 8m)
  [s2b-k_pawns8-ET] 231/512 games (2259/h, eta 7m)
  [s2b-k_pawns8-ET] 232/512 games (2252/h, eta 7m)
  [s2b-k_pawns8-ET] 233/512 games (2260/h, eta 7m)
  [s2b-k_pawns8-ET] 234/512 games (2249/h, eta 7m)
  [s2b-k_pawns8-ET] 235/512 games (2257/h, eta 7m)
  [s2b-k_pawns8-ET] 236/512 games (2267/h, eta 7m)
  [s2b-k_pawns8-ET] 237/512 games (2270/h, eta 7m)
  [s2b-k_pawns8-ET] 238/512 games (2269/h, eta 7m)
  [s2b-k_pawns8-ET] 239/512 games (2263/h, eta 7m)
  [s2b-k_pawns8-ET] 240/512 games (2265/h, eta 7m)
  [s2b-k_pawns8-ET] 241/512 games (2266/h, eta 7m)
  [s2b-k_pawns8-ET] 242/512 games (2274/h, eta 7m)
  [s2b-k_pawns8-ET] 243/512 games (2276/h, eta 7m)
  [s2b-k_pawns8-ET] 244/512 games (2262/h, eta 7m)
  [s2b-k_pawns8-ET] 245/512 games (2260/h, eta 7m)
  [s2b-k_pawns8-ET] 246/512 games (2247/h, eta 7m)
  [s2b-k_pawns8-ET] 247/512 games (2247/h, eta 7m)
  [s2b-k_pawns8-ET] 248/512 games (2256/h, eta 7m)
  [s2b-k_pawns8-ET] 249/512 games (2264/h, eta 7m)
  [s2b-k_pawns8-ET] 250/512 games (2273/h, eta 7m)
  [s2b-k_pawns8-ET] 251/512 games (2281/h, eta 7m)
  [s2b-k_pawns8-ET] 252/512 games (2277/h, eta 7m)
  [s2b-k_pawns8-ET] 253/512 games (2279/h, eta 7m)
  [s2b-k_pawns8-ET] 254/512 games (2287/h, eta 7m)
  [s2b-k_pawns8-ET] 255/512 games (2283/h, eta 7m)
  [s2b-k_pawns8-ET] 256/512 games (2285/h, eta 7m)
  [s2b-k_pawns8-ET] 257/512 games (2287/h, eta 7m)
  [s2b-k_pawns8-ET] 258/512 games (2282/h, eta 7m)
  [s2b-k_pawns8-ET] 259/512 games (2258/h, eta 7m)
  [s2b-k_pawns8-ET] 260/512 games (2264/h, eta 7m)
  [s2b-k_pawns8-ET] 261/512 games (2266/h, eta 7m)
  [s2b-k_pawns8-ET] 262/512 games (2272/h, eta 7m)
  [s2b-k_pawns8-ET] 263/512 games (2268/h, eta 7m)
  [s2b-k_pawns8-ET] 264/512 games (2269/h, eta 7m)
  [s2b-k_pawns8-ET] 265/512 games (2262/h, eta 7m)
  [s2b-k_pawns8-ET] 266/512 games (2270/h, eta 7m)
